id,name,type,race,archetype,atk,def,level,cardmarket,tcgplayer,ebay,amazon,coolstuffinc
34541863,a cell breeding device,Spell Card,Continuous,Alien,0,0,0,0.14,0.19,1.29,24.45,0.25
64163367,a cell incubator,Spell Card,Continuous,Alien,0,0,0,0.09,0.2,1.15,0.5,0.25
91231901,a cell recombination device,Spell Card,Quick-Play,Alien,0,0,0,0.21,0.23,0.99,0.5,0.49
73262676,a cell scatter burst,Spell Card,Quick-Play,Alien,0,0,0,0.12,0.1,0.99,9.76,0.25
37478723,infernoble arms - durendal,Spell Card,Equip,Noble Knight,0,0,0,0.32,0.21,0.99,2.96,0.0
64867422,infernoble arms - hauteclere,Spell Card,Equip,Noble Knight,0,0,0,0.08,0.04,1.0,0.25,0.0
90861137,infernoble arms - joyeuse,Spell Card,Equip,Noble Knight,0,0,0,0.17,0.05,0.99,0.45,0.0
44256816,1st movement solo,Spell Card,Normal,Melodious,0,0,0,4.49,1.6,2.99,2.19,2.99
86988864,3-hump lacooda,Effect Monster,Beast,0,500,1500,3,0.13,0.17,1.09,0.25,0.25
11714098,"30,000-year white turtle",Normal Monster,Aqua,0,1250,2100,5,0.0,0.0,10.53,0.5,0.0
83994646,4-starred ladybug of doom,Flip Effect Monster,Insect,0,800,1200,3,0.05,0.14,1.77,0.99,0.25
67048711,7,Spell Card,Continuous,0,0,0,0,0.56,1.07,1.09,11.0,0.49
23771716,7 colored fish,Normal Monster,Fish,0,1800,800,4,0.04,0.39,2.99,2.77,0.39
86198326,7 completed,Spell Card,Equip,0,0,0,0,0.06,0.21,2.5,1.15,0.25
14261867,8-claws scorpion,Effect Monster,Insect,0,300,200,2,0.13,0.2,0.75,0.2,0.25
24140059,a cat of ill omen,Flip Effect Monster,Beast,0,500,300,2,0.43,1.71,2.25,4.49,0.99
6850209,a deal with dark ruler,Spell Card,Quick-Play,Archfiend,0,0,0,0.05,0.21,1.89,0.93,0.25
49140998,a feather of the phoenix,Spell Card,Normal,0,0,0,0,0.11,0.2,1.2,0.65,0.25
68170903,a feint plan,Trap Card,Normal,0,0,0,0,0.14,0.16,1.09,0.29,0.25
21597117,a hero emerges,Trap Card,Normal,0,0,0,0,0.07,0.17,0.99,0.99,0.25
8949584,a hero lives,Spell Card,Normal,Elemental HERO,0,0,0,0.14,0.24,0.99,20.0,0.39
295517,a legendary ocean,Spell Card,Field,Umi,0,0,0,0.14,0.29,2.5,1.33,0.25
32207100,a major upset,Trap Card,Normal,0,0,0,0,0.05,0.14,2.95,0.25,0.25
51351302,a man with wdjat,Effect Monster,Spellcaster,0,1600,1600,4,0.23,0.2,0.99,0.64,0.39
5728014,a rival appears!,Trap Card,Normal,0,0,0,0,0.09,0.2,0.99,0.99,0.25
23587624,a wild monster appears!,Spell Card,Normal,0,0,0,0,0.12,0.09,1.6,0.45,0.39
28596933,a wingbeat of giant dragon,Spell Card,Normal,0,0,0,0,0.11,0.16,0.99,0.99,0.25
30012506,a-assault core,Union Effect Monster,Machine,ABC,1900,200,4,0.64,1.04,3.89,3.31,1.99
13026402,a-team: trap disposal unit,Effect Monster,Machine,0,300,400,2,0.55,0.2,2.99,0.99,0.49
65172015,a-to-z-dragon buster cannon,Fusion Monster,Machine,ABC,4000,4000,10,1.28,0.53,0.99,0.98,0.49
28645123,a.i. challenge you,Trap Card,Continuous,A.I.,0,0,0,1.47,0.05,0.99,0.59,0.49
10493654,a.i. contact,Spell Card,Normal,@Ignister,0,0,0,0.19,0.12,0.99,0.25,0.25
59332125,a.i. love fusion,Spell Card,Normal,@Ignister,0,0,0,0.06,0.08,0.99,0.25,0.49
6552971,a.i. meet you,Spell Card,Normal,A.I.,0,0,0,0.14,0.25,0.99,1.0,0.39
77421977,a.i. shadow,Trap Card,Continuous,@Ignister,0,0,0,0.07,0.05,0.99,0.2,0.49
